major,nn_study,nn_trial,ao_study,ao_trial,nn_optuna_rmse,nn_optuna_auc,nn_optuna_combined_metric,ao_optuna_rmse,ao_optuna_val_rmse,selected,selection_criterion,eval_rmse,eval_auc,eval_auc_adjusted,eval_combined_metric
7,NN_Optimization_7,737,AO_Optimization_7,1606,0.6042458459062661,0.7184955443154277,-0.11424969840916166,0.40997999165783916,0.4955042338920838,1,rmse,1.677365888624756,0.7527421250091801,0.7527421250091801,0.9246237636155759
10,NN_Optimization_10,829,AO_Optimization_10,1611,0.6097937753782856,0.7380441474508921,-0.12825037207260648,0.39815851453188494,0.48214452706338146,0,rmse,,,,
8,NN_Optimization_8,774,AO_Optimization_8,1672,0.6116628111551365,0.7290659781958188,-0.11740316704068221,0.3952211938770005,0.47835652460324446,0,rmse,,,,
6,NN_Optimization_6,869,AO_Optimization_6,1940,0.6139614459680418,0.6980375221299782,-0.08407607616193635,0.4074865741507297,0.4864104044278694,0,rmse,,,,
9,NN_Optimization_9,773,AO_Optimization_9,1837,0.6144569935225189,0.7420896559052078,-0.1276326623826889,0.4142875382248137,0.4992234977276637,0,rmse,,,,
