major,nn_study,nn_trial,ao_study,ao_trial,nn_optuna_rmse,nn_optuna_auc,nn_optuna_combined_metric,ao_optuna_rmse,ao_optuna_val_rmse,selected,eval_rmse,eval_auc,eval_auc_adjusted,eval_combined_metric
9,NN_Optimization_9,721,AO_Optimization_9,1837,0.615866418159702,0.7605762935392184,-0.1447098753795164,0.4142875382248137,0.4992234977276637,1,1.6894085640784238,0.762107813034694,0.762107813034694,0.9273007510437298
8,NN_Optimization_8,816,AO_Optimization_8,1672,0.6185855267377933,0.7602850684955053,-0.14169954175771193,0.3952211938770005,0.47835652460324446,0,,,,
7,NN_Optimization_7,841,AO_Optimization_7,1606,0.6056401820161292,0.7465054947974042,-0.140865312781275,0.40997999165783916,0.4955042338920838,0,,,,
10,NN_Optimization_10,144,AO_Optimization_10,1611,0.6172616789298628,0.7467375372869623,-0.12947585835709952,0.39815851453188494,0.48214452706338146,0,,,,
6,NN_Optimization_6,665,AO_Optimization_6,1940,0.6232762153801803,0.7323180888449284,-0.10904187346474814,0.4074865741507297,0.4864104044278694,0,,,,
