major,nn_study,nn_trial,ao_study,ao_trial,nn_optuna_rmse,nn_optuna_auc,nn_optuna_combined_metric,ao_optuna_rmse,ao_optuna_val_rmse,selected,selection_criterion,eval_rmse,eval_auc,eval_auc_adjusted,eval_combined_metric
6,NN_Optimization_6,357,AO_Optimization_6,1940,0.6631399965043665,0.7652885335070918,-0.1021485370027253,0.4074865741507297,0.4864104044278694,1,auc,1.8943051277639584,0.6721870512477949,0.6721870512477949,1.2221180765161637
9,NN_Optimization_9,710,AO_Optimization_9,1837,0.6242418379605869,0.7627971042347363,-0.1385552662741495,0.4142875382248137,0.4992234977276637,0,auc,,,,
8,NN_Optimization_8,108,AO_Optimization_8,1672,0.62686746077411,0.7612142150635421,-0.1343467542894321,0.3952211938770005,0.47835652460324446,0,auc,,,,
10,NN_Optimization_10,468,AO_Optimization_10,1611,0.708296679618962,0.7606581334408384,-0.0523614538218764,0.39815851453188494,0.48214452706338146,0,auc,,,,
7,NN_Optimization_7,386,AO_Optimization_7,1606,0.8218244605969879,0.756944769981046,0.0648796906159419,0.40997999165783916,0.4955042338920838,0,auc,,,,
